Algorithms,.github/workflows/check.yml,8,mvn checkstyle:checkstyle,Algorithms_check-build-Check-java-checkstyle.csv,target/site/,{"maven-site-plugin": 1.0}
Algorithms,.github/workflows/check.yml,8,mvn install,Algorithms_check-build-Test.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.262}
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/site/,{"maven-site-plugin": 1.0, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/cache/,{"maven-site-plugin": 0.23, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
github-api,.github/workflows/codeql-analysis.yml,11,mvn clean package,github-api_codeql-analysis-analyze_language_java.csv,target/test-classes/,{"org.codehaus.mojo#animal-sniffer-maven-plugin": 0.658, "maven-compiler-plugin": 0.541, "maven-resources-plugin": 0.411, "maven-surefire-plugin": 0.382, "com.diffplug.spotless#spotless-maven-plugin": 0.317, "maven-site-plugin": 0.23, "org.jacoco#jacoco-maven-plugin": 0.218}
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/japicmp/,{"com.github.siom79.japicmp#japicmp-maven-plugin": 0.486, "maven-site-plugin": 0.23, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
JSqlParser,.github/workflows/maven.yml,11,mvn -B package,JSqlParser_maven-build_java_11.csv,target/surefire-reports/,{"maven-pmd-plugin": 0.588, "maven-eclipse-plugin": 0.428, "maven-site-plugin": 0.423, "maven-surefire-plugin": 0.334, "org.codehaus.mojo#build-helper-maven-plugin": 0.209}
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-site_java_11.csv,target/site/,{"maven-site-plugin": 1.0, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
JSqlParser,.github/workflows/maven.yml,8,mvn -B package,JSqlParser_maven-build_java_8.csv,target/surefire-reports/,{"maven-pmd-plugin": 0.588, "maven-eclipse-plugin": 0.428, "maven-site-plugin": 0.423, "maven-surefire-plugin": 0.334, "org.codehaus.mojo#build-helper-maven-plugin": 0.209}
Mybatis-PageHelper,.github/workflows/pull-request.yml,8,mvn --batch-mode --update-snapshots -P dev verify,Mybatis-PageHelper_pull-request-mvnverify.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.262}
UniversalMediaServer,.github/workflows/ci.yaml,17,mvn verify -P testing,UniversalMediaServer_ci.yaml-linuxbionic_java-version_17.csv,target/surefire-reports/,{"maven-site-plugin": 0.422, "maven-surefire-plugin": 0.334}
UniversalMediaServer,.github/workflows/ci.yaml,17,mvn verify -P testing,UniversalMediaServer_ci.yaml-linuxfocal_java-version_17.csv,target/surefire-reports/,{"maven-site-plugin": 0.422, "maven-surefire-plugin": 0.334}
fabric-sdk-java,.github/workflows/build.yml,11,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_11.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.338, "maven-site-plugin": 0.3, "org.jacoco#jacoco-maven-plugin": 0.219}
fabric-sdk-java,.github/workflows/build.yml,17,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_17.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.338, "maven-site-plugin": 0.3, "org.jacoco#jacoco-maven-plugin": 0.219}
fabric-sdk-java,.github/workflows/build.yml,8,mvn -B clean install -DskipITs=false -Dmaven.test.failure.ignore=false javadoc:javadoc,fabric-sdk-java_build-test_java-version_8.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.338, "maven-site-plugin": 0.3, "org.jacoco#jacoco-maven-plugin": 0.219}
github-api,.github/workflows/maven-build.yml,17,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_17.csv,target/cache/,{"maven-site-plugin": 0.23, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
github-api,.github/workflows/maven-build.yml,11,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_11.csv,target/surefire-reports/,{"org.jacoco#jacoco-maven-plugin": 0.391, "maven-surefire-plugin": 0.297, "maven-site-plugin": 0.297, "maven-project-info-reports-plugin": 0.251}
github-api,.github/workflows/maven-build.yml,17,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_17.csv,target/japicmp/,{"com.github.siom79.japicmp#japicmp-maven-plugin": 0.486, "maven-site-plugin": 0.23, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
github-api,.github/workflows/maven-build.yml,17,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_17.csv,target/site/,{"maven-site-plugin": 1.0, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.193}
github-api,.github/workflows/maven-build.yml,8,mvn -B clean install,github-api_maven-build-test8_os_ubuntu_java_8.csv,target/cache/,{"maven-site-plugin": 0.23, "org.jacoco#jacoco-maven-plugin": 0.218, "maven-surefire-plugin": 0.185}
JSqlParser,.github/workflows/maven.yml,11,mvn -B package,JSqlParser_maven-build_java_11.csv,target/site/,{"maven-site-plugin": 1.0, "org.codehaus.mojo#license-maven-plugin": 0.671, "maven-pmd-plugin": 0.588, "maven-eclipse-plugin": 0.428, "org.codehaus.mojo#exec-maven-plugin": 0.401, "org.codehaus.mojo#build-helper-maven-plugin": 0.209}
github-api,.github/workflows/maven-build.yml,17,mvn -B clean install,github-api_maven-build-test_os_ubuntu_java_17.csv,target/surefire-reports/,{"org.jacoco#jacoco-maven-plugin": 0.391, "maven-surefire-plugin": 0.297, "maven-site-plugin": 0.297, "maven-project-info-reports-plugin": 0.251}
JSqlParser,.github/workflows/maven.yml,8,mvn -B package,JSqlParser_maven-build_java_8.csv,target/site/,{"maven-site-plugin": 1.0, "org.codehaus.mojo#license-maven-plugin": 0.671, "maven-pmd-plugin": 0.588, "maven-eclipse-plugin": 0.428, "org.codehaus.mojo#exec-maven-plugin": 0.401, "org.codehaus.mojo#build-helper-maven-plugin": 0.209}
github-api,.github/workflows/maven-build.yml,8,mvn -B clean install,github-api_maven-build-test8_os_ubuntu_java_8.csv,target/surefire-reports/,{"org.jacoco#jacoco-maven-plugin": 0.391, "maven-surefire-plugin": 0.298, "maven-site-plugin": 0.297, "maven-project-info-reports-plugin": 0.251}
junit4,.github/workflows/main.yml,11,./mvnw verify javadoc:javadoc site:site --batch-mode --errors --settings .github/workflows/settings.xml,junit4_main-buildandverify_java_11.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.34, "maven-site-plugin": 0.316}
junit4,.github/workflows/main.yml,17,/mvnw verify javadoc:javadoc site:site --batch-mode --errors --settings .github/workflows/settings.xml,junit4_main-buildandverify_java_17.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.34, "maven-site-plugin": 0.316}
junit4,.github/workflows/main.yml,18,./mvnw verify javadoc:javadoc site:site --batch-mode --errors --settings .github/workflows/settings.xml,junit4_main-buildandverify_java_18.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.34, "maven-site-plugin": 0.316}
junit4,.github/workflows/main.yml,8,./mvnw verify javadoc:javadoc site:site --batch-mode --errors --settings .github/workflows/settings.xml,junit4_main-buildandverify_java_8.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.34, "maven-site-plugin": 0.316}
kafdrop,.github/workflows/pull_request.yml,17,mvn -B verify,kafdrop_pull_request-build.csv,target/docker-ready/,{"maven-resources-plugin": 0.336, "com.spotify#docker-maven-plugin": 0.332, "maven-site-plugin": 0.234, "maven-failsafe-plugin": 0.219, "pl.project13.maven#git-commit-id-plugin": 0.213}
kafdrop,.github/workflows/pull_request.yml,17,mvn -B verify,kafdrop_pull_request-build.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.262, "com.spotify#docker-maven-plugin": 0.234, "maven-failsafe-plugin": 0.219, "maven-resources-plugin": 0.219, "pl.project13.maven#git-commit-id-plugin": 0.213}
matsim-example-project,.github/workflows/maven.yml,11,mvn -B verify,matsim-example-project_maven-build.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.274}
mcMMO,.github/workflows/maven.yml,17,mvn verify -B,mcMMO_maven-compile.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.338, "maven-site-plugin": 0.262}
mooc-software-testing,.github/workflows/maven.yml,11,mvn -B package,mooc-software-testing_maven-build.csv,target/jacoco-ut/,{"org.jacoco#jacoco-maven-plugin": 0.867, "maven-site-plugin": 0.22}
mooc-software-testing,.github/workflows/maven.yml,11,mvn -B package,mooc-software-testing_maven-build.csv,target/site/,{"maven-site-plugin": 1.0, "org.jacoco#jacoco-maven-plugin": 0.559}
mooc-software-testing,.github/workflows/maven.yml,11,mvn -B package,mooc-software-testing_maven-build.csv,target/surefire-reports/,{"org.jacoco#jacoco-maven-plugin": 0.559, "maven-surefire-plugin": 0.304, "maven-site-plugin": 0.262}
open-location-code,.github/workflows/main.yml,11,mvn package,open-location-code_main-testjava_java_11.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
open-location-code,.github/workflows/main.yml,16,mvn package,open-location-code_main-testjava_java_16.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
open-location-code,.github/workflows/main.yml,17,mvn package,open-location-code_main-testjava_java_17.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
open-location-code,.github/workflows/main.yml,8,mvn package,open-location-code_main-testjava_java_8.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.327, "maven-site-plugin": 0.306}
pipelines-java,.github/workflows/codeql-analysis.yml,11,mvn clean package -B -V -e -Dfindbugs.skip -Dcheckstyle.skip -Dpmd.skip=true -Dspotbugs.skip -Denforcer.skip -Dmaven.javadoc.skip -DskipTests -Dmaven.test.skip.exec -Dlicense.skip=true -Drat.skip=true -Dspotless.check.skip=true ,pipelines-java_codeql-analysis-analyze_language_java.csv,target/test-classes/,{"org.jacoco#jacoco-maven-plugin": 0.65, "maven-surefire-plugin": 0.536, "maven-compiler-plugin": 0.511, "maven-resources-plugin": 0.411, "maven-site-plugin": 0.227}
socket.io-client-java,.github/workflows/ci.yml,11,mvn verify -Dgpg.skip=true,socket.io-client-java_ci-verify_java_11.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.342, "maven-site-plugin": 0.262}
socket.io-client-java,.github/workflows/ci.yml,7,mvn verify -Dgpg.skip=true,socket.io-client-java_ci-verify_java_7.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.342, "maven-site-plugin": 0.262}
socket.io-client-java,.github/workflows/ci.yml,8,mvn verify -Dgpg.skip=true,socket.io-client-java_ci-verify_java_8.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.342, "maven-site-plugin": 0.262}
soot,.github/workflows/ci.yml,11,mvn -B clean test -PJava11,soot_ci-BuildAndTest_java_version_11.csv,target/surefire-reports/,{"maven-compiler-plugin": 0.47, "maven-resources-plugin": 0.445, "maven-surefire-plugin": 0.357, "maven-site-plugin": 0.262}
soot,.github/workflows/ci.yml,8,mvn -B clean test -PJava8,soot_ci-BuildAndTest_java_version_8.csv,target/surefire-reports/,{"maven-compiler-plugin": 0.47, "maven-resources-plugin": 0.445, "maven-surefire-plugin": 0.357, "maven-site-plugin": 0.262}
soot,.github/workflows/ci.yml,9,mvn -B clean test -PJava9,soot_ci-BuildAndTest_java_version_9.csv,target/surefire-reports/,{"maven-compiler-plugin": 0.47, "maven-resources-plugin": 0.445, "maven-surefire-plugin": 0.357, "maven-site-plugin": 0.262}
spring-framework-petclinic,.github/workflows/maven-build.yml,11,mvn -B package,spring-framework-petclinic_maven-build-build.csv,target/site/,{"maven-site-plugin": 1.0, "ro.isdc.wro4j#wro4j-maven-plugin": 0.279}
spring-framework-petclinic,.github/workflows/maven-build.yml,11,mvn -B package,spring-framework-petclinic_maven-build-build.csv,target/surefire-reports/,{"maven-surefire-plugin": 0.334, "ro.isdc.wro4j#wro4j-maven-plugin": 0.279, "maven-site-plugin": 0.262}
spring-framework-petclinic,.github/workflows/maven-build.yml,11,mvn -B package,spring-framework-petclinic_maven-build-build.csv,target/.wro4j/,{"ro.isdc.wro4j#wro4j-maven-plugin": 0.577, "maven-site-plugin": 0.22}
spring-petclinic-rest,.github/workflows/maven-build.yml,11,mvn -B install,spring-petclinic-rest_maven-build-build.csv,target/site/,{"maven-site-plugin": 1.0, "org.codehaus.mojo#build-helper-maven-plugin": 0.335, "maven-failsafe-plugin": 0.206, "pl.project13.maven#git-commit-id-plugin": 0.202}
spring-petclinic-rest,.github/workflows/maven-build.yml,11,mvn -B install,spring-petclinic-rest_maven-build-build.csv,target/surefire-reports/,{"org.codehaus.mojo#build-helper-maven-plugin": 0.335, "maven-surefire-plugin": 0.327, "maven-site-plugin": 0.262, "maven-failsafe-plugin": 0.206, "pl.project13.maven#git-commit-id-plugin": 0.202}
symphony,.github/workflows/ci.yml,11,mvn install -Dmaven.javadoc.skip=true -B -V -Pci,symphony_ci-build.csv,target/symphony/,{"maven-jar-plugin": 0.457, "com.mycila#license-maven-plugin": 0.249, "maven-site-plugin": 0.235}
symphony,.github/workflows/ci.yml,11,mvn install -Dmaven.javadoc.skip=true -B -V -Pci,symphony_ci-build.csv,target/test-classes/,{"maven-surefire-plugin": 0.552, "maven-compiler-plugin": 0.511, "maven-resources-plugin": 0.411, "maven-site-plugin": 0.234}
